
 - final statistics:
136 variables; iteration 0; function evaluation 0
Function value 7.3340e+03; maximum gradient component mag 4.1948e-04
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 34 -0.01247  1.58414e-05 | 35 -0.01236  1.18052e-05 | 36 -0.01221  1.37594e-05
 37 -0.01203  1.27249e-05 | 38 -0.01181  1.29683e-05 | 39 -0.01155  1.25409e-05
 40 -0.01125  1.12774e-05 | 41 -0.01091  1.25497e-05 | 42 -0.01054  8.76840e-06
 43 -0.01013  1.03450e-05 | 44 -0.00969  1.09382e-05 | 45 -0.00923  7.35440e-06
 46 -0.00875  9.72513e-06 | 47 -0.00826  6.56310e-06 | 48 -0.00778  7.10559e-06
 49 -0.00731  4.03957e-06 | 50 -0.00686  1.39671e-06 | 51 -0.00645  5.17914e-06
 52 -0.00608  1.18792e-06 | 53 -0.00576 -1.98348e-06 | 54 -0.00548  6.06397e-06
 55 -0.00524  7.10536e-06 | 56 -0.00503 -8.07009e-06 | 57 -0.00482 -4.26764e-06
 58 -0.00458  3.78189e-06 | 59 -0.00430 -9.58121e-06 | 60 -0.00394 -1.76754e-05
 61 -0.00348  1.73304e-06 | 62 -0.00287 -1.41889e-05 | 63 -0.00209 -1.03291e-05
 64 -0.00109 -1.08591e-05 | 65  0.00014 -9.57697e-06 | 66  0.00165 -1.35060e-05
 67  0.00344 -2.34528e-05 | 68  0.00556 -1.35800e-05 | 69  0.00799 -5.45679e-06
 70  0.01073 -1.58789e-05 | 71  0.01376 -2.43428e-05 | 72  0.01701 -8.58746e-06
 73  0.02039 -1.21999e-05 | 74  0.02374 -2.96111e-05 | 75  0.02688 -1.24423e-05
 76  0.02959 -1.48193e-05 | 77  0.03167 -3.22977e-05 | 78  0.03301 -1.86661e-05
 79  0.03356 -4.13661e-05 | 80  0.03342 -1.01740e-05 | 81  0.03269 -2.02135e-05
 82  0.03141 -1.01645e-05 | 83  0.02955 -1.68854e-05 | 84  0.02701 -2.26684e-05
 85  0.02374 -1.80581e-05 | 86  0.01993 -2.27484e-05 | 87  0.01595 -1.66412e-05
 88  0.01232 -1.02439e-05 | 89  0.00947 -1.41486e-05 | 90  0.00753 -2.38902e-05
 91  0.00629 -2.94729e-05 | 92  0.00535 -4.13057e-06 | 93  0.00459 -9.98309e-06
 94  0.00449 -1.91611e-05 | 95  0.00513 -3.24194e-05 | 96  0.00537 -6.58443e-06
 97  0.00705 -1.99792e-06 | 98  0.00963  1.65328e-05 | 99  0.01361 -6.15433e-06
100  0.01372 -1.79579e-05 |101  0.01248 -4.96247e-05 |102  0.01080 -4.17440e-05
103  0.00276 -2.98690e-05 |104  0.00363 -4.40128e-05 |105  0.02300 -1.62731e-05
