
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 5.3245179e+03; maximum gradient component mag -2.5989e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 40 -0.00353  2.81258e-01 | 41 -0.00303  2.63413e-01 | 42 -0.00259  2.42574e-01
 43 -0.00220  2.18499e-01 | 44 -0.00188  1.90895e-01 | 45 -0.00160  1.59326e-01
 46 -0.00137  1.23214e-01 | 47 -0.00115  8.18943e-02 | 48 -0.00094  3.46908e-02
 49 -0.00070 -1.89753e-02 | 50 -0.00041 -7.95127e-02 | 51 -0.00004 -1.47025e-01
 52  0.00046 -2.21045e-01 | 53  0.00113 -3.00272e-01 | 54  0.00200 -3.82245e-01
 55  0.00314 -4.62699e-01 | 56  0.00461 -5.36167e-01 | 57  0.00646 -5.94819e-01
 58  0.00876 -6.30259e-01 | 59  0.01156 -6.36452e-01 | 60  0.01487 -6.14751e-01
 61  0.01860 -5.82243e-01 | 62  0.02248 -5.79965e-01 | 63  0.02606 -6.74706e-01
 64  0.02869 -9.41515e-01 | 65  0.02983 -1.41847e+00 | 66  0.02941 -2.05050e+00
 67  0.02810 -2.68256e+00 | 68  0.02689 -3.13567e+00 | 69  0.02641 -3.31042e+00
 70  0.02667 -3.22437e+00 | 71  0.02732 -2.95677e+00 | 72  0.02790 -2.59032e+00
 73  0.02805 -2.17702e+00 | 74  0.02735 -1.77043e+00 | 75  0.02524 -1.47355e+00
 76  0.02143 -1.39841e+00 | 77  0.01642 -1.56388e+00 | 78  0.01136 -1.87820e+00
 79  0.00721 -2.24021e+00 | 80  0.00427 -2.60760e+00 | 81  0.00234 -2.97262e+00
 82  0.00112 -3.30958e+00 | 83  0.00050 -3.60833e+00 | 84  0.00054 -3.96416e+00
 85  0.00112 -4.42429e+00 | 86  0.00202 -4.75096e+00 | 87  0.00346 -5.33041e+00
 88  0.00493 -6.11931e+00 | 89  0.00454 -7.52849e+00 | 90  0.00477 -7.95137e+00
 91  0.00229 -8.52902e+00 | 92 -0.00214 -9.30338e+00 | 93 -0.00995 -9.20683e+00
 94 -0.00464 -8.46235e+00 | 95  0.01794 -8.63397e+00 | 96  0.03253 -5.29210e+00
 97 -0.00737 -6.95629e+00 | 98 -0.00223 -9.37824e+00 | 99  0.09991 -6.04650e+00
100  0.00171 -8.98824e+00 |101 -0.01791 -2.60953e+00 |102  0.00207 -2.13036e+00
103 -0.00067 -6.36467e+00 |104  0.03939  1.60901e+00 |105  0.01164  8.90139e+00
106 -0.03373  1.87474e+01 |107 -0.04743  2.24966e+01 |108 -0.05867  1.64450e+01
109 -0.02040  1.69138e+01 |110  0.01456  1.53110e+01 |111  0.01966  1.41037e+01
112 -0.00079  1.15979e+01 |113 -0.00407  8.00106e+00 |114 -0.02040  3.24820e+00
115 -0.01171 -1.25985e-01 |116  0.01218 -2.72690e+00 |117  0.02131 -3.71888e+00
118  0.02791 -3.65058e+00 |119  0.03042 -3.05273e+00 |120  0.03098 -1.52852e+00
121  0.03573 -1.04689e+00 |122  0.01047 -1.16733e-01 |123  0.00028  1.69770e-01
124 -0.01103  4.73100e-01 |125 -0.01282  4.94095e-01 |126 -0.00969  3.18624e-01
127 -0.01005  2.59529e-01 |128  0.00034 -2.59620e-02 |129  0.00680 -1.46899e-01
130 -0.00017 -1.59979e-03 |131 -0.00214  4.66393e-02 |132 -0.00054  1.14913e-02
133 -0.00000  1.05864e-05 |134  0.00000 -9.70736e-10 |135  0.28525  4.61984e+00
136  0.19490 -7.17605e+00 |

 - final statistics:
136 variables; iteration 29; function evaluation 43
Function value 5.3012e+03; maximum gradient component mag 6.7746e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42518  4.82164e+00 |  2 -0.08452  4.07505e-01 |  3 -0.00940  8.66378e-02
  4 -0.00960  8.81693e-02 |  5 -0.00979  8.96132e-02 |  6 -0.00998  9.09544e-02
  7 -0.01016  9.21861e-02 |  8 -0.01033  9.32860e-02 |  9 -0.01050  9.42371e-02
 10 -0.01066  9.50268e-02 | 11 -0.01081  9.56442e-02 | 12 -0.01094  9.60809e-02
 13 -0.01106  9.63315e-02 | 14 -0.01117  9.63927e-02 | 15 -0.01126  9.62610e-02
 16 -0.01134  9.59315e-02 | 17 -0.01139  9.53971e-02 | 18 -0.01142  9.46542e-02
 19 -0.01143  9.37114e-02 | 20 -0.01141  9.25905e-02 | 21 -0.01136  9.13241e-02
 22 -0.01129  8.99393e-02 | 23 -0.01119  8.84606e-02 | 24 -0.01105  8.69069e-02
 25 -0.01088  8.52908e-02 | 26 -0.01068  8.36226e-02 | 27 -0.01043  8.19110e-02
 28 -0.01015  8.01728e-02 | 29 -0.00982  7.84256e-02 | 30 -0.00945  7.66606e-02
 31 -0.00903  7.49293e-02 | 32 -0.00858  7.32027e-02 | 33 -0.00808  7.14353e-02
 34 -0.00755  6.95589e-02 | 35 -0.00700  6.74803e-02 | 36 -0.00642  6.51022e-02
 37 -0.00583  6.23486e-02 | 38 -0.00525  5.91747e-02 | 39 -0.00467  5.56036e-02
 40 -0.00413  5.17480e-02 | 41 -0.00361  4.78240e-02 | 42 -0.00314  4.41394e-02
 43 -0.00272  4.10382e-02 | 44 -0.00234  3.87656e-02 | 45 -0.00201  3.73719e-02
 46 -0.00170  3.67098e-02 | 47 -0.00139  3.65311e-02 | 48 -0.00107  3.65811e-02
 49 -0.00071  3.66097e-02 | 50 -0.00028  3.64016e-02 | 51  0.00027  3.57153e-02
 52  0.00094  3.41848e-02 | 53  0.00179  3.09130e-02 | 54  0.00284  2.36996e-02
 55  0.00410  7.85093e-03 | 56  0.00557 -2.60763e-02 | 57  0.00721 -9.30088e-02
 58  0.00894 -2.11658e-01 | 59  0.01072 -3.94102e-01 | 60  0.01259 -6.21301e-01
 61  0.01487 -8.14413e-01 | 62  0.01813 -8.45564e-01 | 63  0.02260 -6.63103e-01
 64  0.02716 -4.74322e-01 | 65  0.02981 -6.04586e-01 | 66  0.03074 -9.51449e-01
 67  0.03219 -1.06494e+00 | 68  0.03421 -9.30922e-01 | 69  0.03471 -9.08919e-01
 70  0.03305 -1.12196e+00 | 71  0.03048 -1.38210e+00 | 72  0.02834 -1.46813e+00
 73  0.02663 -1.36553e+00 | 74  0.02400 -1.30203e+00 | 75  0.01915 -1.53710e+00
 76  0.01322 -1.91524e+00 | 77  0.00873 -1.99941e+00 | 78  0.00608 -1.77673e+00
 79  0.00428 -1.54439e+00 | 80  0.00287 -1.44367e+00 | 81  0.00178 -1.45300e+00
 82  0.00081 -1.52962e+00 | 83 -0.00008 -1.64840e+00 | 84 -0.00025 -1.76739e+00
 85  0.00043 -1.87031e+00 | 86  0.00022 -2.07235e+00 | 87  0.00146 -2.25511e+00
 88  0.00366 -2.39065e+00 | 89  0.00719 -2.50787e+00 | 90  0.00649 -2.65370e+00
 91  0.00443 -2.81933e+00 | 92  0.00285 -2.84943e+00 | 93 -0.00398 -2.68051e+00
 94 -0.00036 -2.28389e+00 | 95  0.01668 -3.25771e+00 | 96  0.02166 -1.80832e+00
 97  0.00108 -1.27457e-01 | 98  0.01651 -4.90776e-01 | 99  0.08854  1.56623e+00
100  0.02161  1.83581e-01 |101 -0.01716  1.11684e+00 |102 -0.00065  8.51875e-01
103  0.01404  3.55561e-01 |104  0.04224  1.84164e+00 |105  0.01505  2.59413e+00
106 -0.04582  3.22681e+00 |107 -0.06072  4.93629e+00 |108 -0.06185  4.98350e+00
109 -0.02552  3.32582e+00 |110  0.01703  3.51428e+00 |111  0.02016  3.55718e+00
112 -0.00503  3.17797e+00 |113  0.00205  5.60671e+00 |114 -0.01741  2.54233e+00
115 -0.00824  1.17387e+00 |116  0.01810  1.03742e+00 |117  0.02814  1.38452e+00
118  0.03643  2.07695e+00 |119  0.03937  2.00776e+00 |120  0.03509  1.31002e+00
121  0.03959  4.87322e-01 |122  0.01098 -1.03984e-01 |123  0.00020 -2.11559e-01
124 -0.01140  8.47879e-02 |125 -0.01318  2.40507e-01 |126 -0.00999  1.78828e-01
127 -0.01043  1.44516e-01 |128  0.00050  9.49084e-03 |129  0.00710 -7.86180e-02
130 -0.00012  8.68580e-03 |131 -0.00221  2.94100e-02 |132 -0.00056  7.57370e-03
133 -0.00000  7.13984e-06 |134  0.00000 -6.96314e-10 |135  0.26739  6.77459e+00
136  0.18080  5.27121e+00 |

Initial statistics: 146 variables; iteration 0; function evaluation 0; phase 2
Function value 5.3012442e+03; maximum gradient component mag 2.1583e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42518  4.82164e+00 |  2  0.37108  6.13279e+01 |  3 -0.12611  1.70375e+02
  4 -0.01318  2.15834e+02 |  5 -0.70910  3.90696e-01 |  6 -0.60422 -1.73266e+01
