
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3782341e+03; maximum gradient component mag -2.3190e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 40  0.00238  3.53507e+00 | 41  0.00287  3.54827e+00 | 42  0.00321  3.52229e+00
 43  0.00338  3.45158e+00 | 44  0.00336  3.33126e+00 | 45  0.00316  3.15751e+00
 46  0.00277  2.92789e+00 | 47  0.00221  2.64096e+00 | 48  0.00151  2.29591e+00
 49  0.00070  1.89375e+00 | 50 -0.00019  1.43727e+00 | 51 -0.00111  9.32327e-01
 52 -0.00200  3.88456e-01 | 53 -0.00276 -1.79241e-01 | 54 -0.00329 -7.48956e-01
 55 -0.00344 -1.29098e+00 | 56 -0.00301 -1.76870e+00 | 57 -0.00180 -2.13897e+00
 58  0.00044 -2.35837e+00 | 59  0.00395 -2.39459e+00 | 60  0.00883 -2.24448e+00
 61  0.01499 -1.95797e+00 | 62  0.02191 -1.65912e+00 | 63  0.02856 -1.54345e+00
 64  0.03338 -1.82980e+00 | 65  0.03478 -2.66510e+00 | 66  0.03206 -4.02423e+00
 67  0.02619 -5.67709e+00 | 68  0.01956 -7.25706e+00 | 69  0.01447 -8.43551e+00
 70  0.01188 -9.09401e+00 | 71  0.01168 -9.27086e+00 | 72  0.01359 -9.01754e+00
 73  0.01775 -8.30283e+00 | 74  0.02400 -7.12707e+00 | 75  0.03031 -5.75152e+00
 76  0.03305 -4.68935e+00 | 77  0.03004 -4.37456e+00 | 78  0.02268 -4.84370e+00
 79  0.01416 -5.78453e+00 | 80  0.00672 -6.84284e+00 | 81  0.00121 -7.77880e+00
 82 -0.00179 -8.36365e+00 | 83 -0.00185 -8.47025e+00 | 84  0.00006 -8.38854e+00
 85  0.00320 -8.29805e+00 | 86  0.01025 -7.50244e+00 | 87  0.01588 -7.43597e+00
 88  0.01922 -8.12101e+00 | 89  0.01084 -1.08817e+01 | 90  0.01499 -1.11653e+01
 91  0.01396 -1.19115e+01 | 92  0.00298 -1.38088e+01 | 93 -0.00652 -1.40868e+01
 94  0.00837 -1.27843e+01 | 95 -0.00296 -1.82131e+01 | 96  0.05351 -1.16940e+01
 97 -0.04458 -2.05094e+01 | 98 -0.03120 -2.03409e+01 | 99  0.12239 -2.01947e+01
100 -0.00333 -1.83914e+01 |101 -0.06059 -2.09243e+01 |102  0.01094 -9.56441e+00
103  0.01132 -7.10320e+00 |104  0.03236  2.73530e+00 |105 -0.00655  1.40947e+01
106 -0.02402  4.81146e+01 |107 -0.03170  6.11713e+01 |108 -0.03103  5.63629e+01
109 -0.03040  2.14769e+01 |110  0.05847  5.15393e+00 |111 -0.00020 -7.74164e+00
