
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3796087e+03; maximum gradient component mag -2.5350e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 40  0.00259  3.29672e+00 | 41  0.00300  3.26837e+00 | 42  0.00325  3.19654e+00
 43  0.00330  3.07589e+00 | 44  0.00314  2.90187e+00 | 45  0.00278  2.67116e+00
 46  0.00222  2.38201e+00 | 47  0.00148  2.03396e+00 | 48  0.00058  1.62762e+00
 49 -0.00043  1.16578e+00 | 50 -0.00152  6.53470e-01 | 51 -0.00263  9.91836e-02
 52 -0.00367 -4.84248e-01 | 53 -0.00455 -1.07815e+00 | 54 -0.00514 -1.65685e+00
 55 -0.00526 -2.18637e+00 | 56 -0.00472 -2.62710e+00 | 57 -0.00326 -2.93271e+00
 58 -0.00063 -3.05877e+00 | 59  0.00340 -2.97550e+00 | 60  0.00896 -2.68740e+00
 61  0.01588 -2.25904e+00 | 62  0.02358 -1.83630e+00 | 63  0.03083 -1.63983e+00
 64  0.03591 -1.90841e+00 | 65  0.03701 -2.79464e+00 | 66  0.03340 -4.26331e+00
 67  0.02627 -6.06108e+00 | 68  0.01840 -7.78351e+00 | 69  0.01240 -9.06553e+00
 70  0.00928 -9.77742e+00 | 71  0.00890 -9.95889e+00 | 72  0.01102 -9.65432e+00
 73  0.01601 -8.80547e+00 | 74  0.02394 -7.38444e+00 | 75  0.03269 -5.67925e+00
 76  0.03777 -4.29763e+00 | 77  0.03603 -3.77604e+00 | 78  0.02859 -4.21856e+00
 79  0.01898 -5.32401e+00 | 80  0.00986 -6.69476e+00 | 81  0.00247 -8.02197e+00
 82 -0.00223 -8.99166e+00 | 83 -0.00350 -9.41616e+00 | 84 -0.00255 -9.61270e+00
 85 -0.00011 -9.74329e+00 | 86  0.00794 -8.88121e+00 | 87  0.01411 -8.80131e+00
 88  0.01760 -9.46793e+00 | 89  0.00664 -1.24216e+01 | 90  0.01361 -1.21475e+01
 91  0.01529 -1.22641e+01 | 92  0.00478 -1.37354e+01 | 93 -0.00326 -1.34590e+01
 94  0.01166 -1.19070e+01 | 95 -0.00572 -1.79754e+01 | 96  0.05391 -1.05073e+01
 97 -0.04817 -2.05100e+01 | 98 -0.02939 -1.90899e+01 | 99  0.12155 -1.61305e+01
100 -0.00552 -1.67895e+01 |101 -0.05923 -1.90246e+01 |102  0.01695 -5.49623e+00
103 -0.00341 -7.23064e+00 |104  0.04413  1.12442e+01 |105 -0.01173  1.53090e+01
106 -0.02428  4.94030e+01 |107 -0.03170  6.16606e+01 |108 -0.03378  5.40017e+01
109 -0.03140  1.97588e+01 |110  0.05366  2.54493e+00 |111  0.00671 -4.27760e+00
112  0.01169  5.62095e+00 |113 -0.02618  7.98542e+00 |114 -0.05065  1.42533e+01
115 -0.00250  1.28111e+01 |116  0.01189  1.23135e+01 |117 -0.02431  5.01394e+00
118  0.01423 -3.27955e+00 |119  0.07582 -5.89546e+00 |120 -0.03643 -1.62030e+01
121  0.08562 -5.39004e+00 |122 -0.02030 -1.04915e+01 |123  0.12269 -8.38472e+00
124 -0.00878 -8.81771e-01 |125 -0.04283  2.24972e+00 |126 -0.04964  3.17837e+00
127 -0.02107  7.64687e-01 |128  0.08862 -1.89791e+00 |129  0.02986 -4.93565e-01
130  0.01659  3.30152e-01 |131 -0.02729  4.95592e-01 |132 -0.02416 -1.80714e+00
133 -0.01000 -1.00534e+00 |134 -0.00060 -4.77646e-02 |135  0.29418 -1.30093e+01
136  0.20082 -3.17760e+01 |

 - final statistics:
136 variables; iteration 35; function evaluation 49
Function value 7.3354e+03; maximum gradient component mag 9.4061e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42343 -4.23776e+00 |  2 -0.09431  8.26672e+00 |  3 -0.01001  8.99596e-02
  4 -0.01024  8.84316e-02 |  5 -0.01047  8.67705e-02 |  6 -0.01070  8.49943e-02
  7 -0.01092  8.31237e-02 |  8 -0.01114  8.11876e-02 |  9 -0.01135  7.92174e-02
 10 -0.01155  7.72480e-02 | 11 -0.01174  7.53194e-02 | 12 -0.01192  7.34737e-02
 13 -0.01208  7.17551e-02 | 14 -0.01223  7.02097e-02 | 15 -0.01237  6.88815e-02
 16 -0.01249  6.78113e-02 | 17 -0.01259  6.70374e-02 | 18 -0.01267  6.66009e-02
 19 -0.01272  6.65517e-02 | 20 -0.01275  6.69516e-02 | 21 -0.01276  6.78629e-02
 22 -0.01273  6.93395e-02 | 23 -0.01268  7.14187e-02 | 24 -0.01260  7.41119e-02
 25 -0.01248  7.73943e-02 | 26 -0.01233  8.12012e-02 | 27 -0.01215  8.54236e-02
 28 -0.01192  8.99166e-02 | 29 -0.01166  9.45029e-02 | 30 -0.01136  9.89585e-02
 31 -0.01102  1.03107e-01 | 32 -0.01065  1.06722e-01 | 33 -0.01025  1.09606e-01
 34 -0.00982  1.11632e-01 | 35 -0.00937  1.12787e-01 | 36 -0.00891  1.13237e-01
 37 -0.00844  1.13370e-01 | 38 -0.00797  1.13770e-01 | 39 -0.00751  1.15182e-01
 40 -0.00708  1.18420e-01 | 41 -0.00667  1.24269e-01 | 42 -0.00629  1.33414e-01
 43 -0.00594  1.46427e-01 | 44 -0.00562  1.63653e-01 | 45 -0.00533  1.85149e-01
 46 -0.00504  2.10715e-01 | 47 -0.00474  2.39942e-01 | 48 -0.00441  2.72215e-01
